Title,Artists,Location
Color Coded,Art Nouveau (11),L102
Mark Ashton,Mark Ashton,L102
Air Raid,Air Raid,L101
Ambrosia,Ambrosia (2),L101
This Is Not The Late Show,Arms Akimbo,L102
Bedtime Stories,David Baerwald,L103
Bedtime Stories,David Baerwald,L103 Promo
Michael Anderson,Michael Anderson (5),L101
The Rain Book,Renée Armand,L102
Less Than The Song,Hoyt Axton,L103
Big Red Rock,Ayers Rock (2),L103
(Let's) Rock 'N' Roll,Atlantic Starr,L101
Run To You,Bryan Adams,L101
Living Together,Burt Bacharach,L103
Life Machine,Hoyt Axton,L103
Burt Bacharach's Greatest Hits,Burt Bacharach,L103
Woman,"Burt Bacharach, Houston Symphony Orchestra",L103
Come From The Shadows,Joan Baez,L103
Whatever's For Us,Joan Armatrading,L102
Whatever's For Us,Joan Armatrading,L102
Sunlight Shinin',"Arthur, Hurley & Gottlieb",L102
Southbound,Hoyt Axton,L103
Beyond,Ayers Rock (2),L103
Fearless,Hoyt Axton,L103
Happy In Hollywood,David Batteau,L103
Joan Armatrading,Joan Armatrading,L102
Chords Of Fame,Phil Ochs,L141
Gulf Winds,Joan Baez,L103
Futures,Burt Bacharach,L103
Road Songs,Hoyt Axton,L103
To The Limit,Joan Armatrading,L102
To The Limit,Joan Armatrading,L102
Do A Runner,Athletico Spizz 80,L102
Do A Runner,Athletico Spizz 80,L102
Do A Runner,Athletico Spizz 80,L102
BGM,Yellow Magic Orchestra,L165
"You Want It, You Got It",Bryan Adams,L101
The Key,Joan Armatrading,L102
Cuts Like A Knife,Bryan Adams,L101
Track Record,Joan Armatrading,L102
Track Record,Joan Armatrading,L102
Sound Alarm,Michael Anderson (5),L101
Suspicion,Lisa Bade,L103
Show Some Emotion,Joan Armatrading,L102
Secret Secrets,Joan Armatrading,L102
Sleight Of Hand,Joan Armatrading,L102
How Cruel,Joan Armatrading,L102
From Every Stage,Joan Baez,L103
From Every Stage,Joan Baez,L103 2nd Copy
Back To The Night,Joan Armatrading,L102
Me Myself I,Joan Armatrading,L102
Me Myself I,Joan Armatrading,L102
The Shouting Stage,Joan Armatrading,L102
Burning The Ballroom Down,The Amazing Rhythm Aces,L101
Amazing Rhythm Aces,The Amazing Rhythm Aces,L101
Amazing Rhythm Aces,The Amazing Rhythm Aces,L101
Toucan Do It Too,The Amazing Rhythm Aces,L101
Toucan Do It Too,The Amazing Rhythm Aces,L101
"Yes We Have No Mañanas, So Get Your Mañanas Today",Kevin Ayers,L103
Stacked Deck,The Amazing Rhythm Aces,L101
Sweet America,Buffy Sainte-Marie,L150
Apple & Appleberry,Apple & Appleberry,L102
Too Stuffed To Jump,The Amazing Rhythm Aces,L101
My Heart Sings,Paul Anka,L102
Wild Sun,999,L160 broken :( .... but you can play the last song!
Play Polkas,101 Strings,Polka might as well be classical
Entities,Amazing Grace (4),L101
The American Dream,The American Dream,L101
Five-A-Side,Ace (7),L101
No Strings,Ace (7),L101
Italian Concerto - Chromatic Fantasia And Fugue - Partita In B Flat Major - Toccata In D Major,"Johann Sebastian Bach, Wanda Landowska","Classical, Bach"
Dog Days,Aimless Device,L101
Love Not Far Removed From Madness,ApeX (24),L102
Let It Be,The Beatles,7”
Band On The Run,Wings (2),"Moved to M, catalog shelf when you get there"
Rave On,Artful Dodger (3),L102
Rave On,Artful Dodger (3),L102
Even Now,Barry Manilow,L132
Strangers In The Wind,Bay City Rollers,L103
The A's,The A's,L101
Lost In Love,Air Supply,L101
You Don't Believe,The Alan Parsons Project,L101
Be True To You,Eric Andersen (2),L101
Life Is You,Batdorf & Rodney,L103
Tryin' To Get The Feeling,Barry Manilow,Pop
Sweet Surprise,Eric Andersen (2),L101
